circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude,_resource_id,_source_resource_id
Telangana Circle,Hyderabad Region,Hanamkonda Division,Tatikonda B.O,506301,BO,Delivery,JANGOAN,TELANGANA,17.8133662,79.3340276,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Chinchinkota B.O,506223,BO,Delivery,SIDDIPET,TELANGANA,17.8746190,78.9639012,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kadaverugu B.O,506223,BO,Delivery,SIDDIPET,TELANGANA,17.9072799,78.9388837,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Garmillapalli B.O,506143,BO,Delivery,HANUMAKONDA,TELANGANA,17.7922519,79.4935684,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Raghunathpalli B.O,506143,BO,Delivery,JANGOAN,TELANGANA,17.8543710,79.4773529,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Tanedarpalli B.O,506143,BO,Delivery,JANGOAN,TELANGANA,17.8442036,79.3746343,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nemiligonda B.O,506143,BO,Delivery,JANGOAN,TELANGANA,17.8442036,79.3746343,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Uppugal B.O,506143,BO,Delivery,JANGOAN,TELANGANA,17.8804780,79.4230850,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Karimnagar Division,Samudrala,505467,BO,Delivery,SIDDIPET,TELANGANA,18.1108470,79.1215400,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Narmetta B.O,506175,BO,Non Delivery,JANGOAN,TELANGANA,17.9320000,79.1521000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
