name,state,district,source
Nagpur(Mahatma Phule Market),Maharashtra,Nagpur,data.gov.in_daily_prices
Devala,Maharashtra,Nashik,data.gov.in_daily_prices
Kalvan,Maharashtra,Nashik,data.gov.in_daily_prices
Shirur,Maharashtra,Pune,data.gov.in_daily_prices
Papparapatti,Tamil Nadu,Dharmapuri,data.gov.in_daily_prices
Pappireddipatti,Tamil Nadu,Dharmapuri,data.gov.in_daily_prices
Jagdalpur,Chattisgarh,Bastar,data.gov.in_daily_prices
Pathalgaon,Chattisgarh,Jashpur,data.gov.in_daily_prices
Keshkal,Chattisgarh,Kondagaon,data.gov.in_daily_prices
Kondagoan,Chattisgarh,Kondagaon,data.gov.in_daily_prices
Surajpur,Chattisgarh,Surajpur,data.gov.in_daily_prices
Sitapur,Chattisgarh,Surguja,data.gov.in_daily_prices
Vadodara,Gujarat,Vadodara(Baroda),data.gov.in_daily_prices
Lohardaga,Jharkhand,Lohardaga,data.gov.in_daily_prices
Simdega,Jharkhand,Simdega,data.gov.in_daily_prices
Chogawan,Punjab,Amritsar,data.gov.in_daily_prices
Gehri,Punjab,Amritsar,data.gov.in_daily_prices
Mehta,Punjab,Amritsar,data.gov.in_daily_prices
Bhadaur,Punjab,Barnala,data.gov.in_daily_prices
Bhadaur(Sehna),Punjab,Barnala,data.gov.in_daily_prices
Dhanaula,Punjab,Barnala,data.gov.in_daily_prices
Mehal Kalan,Punjab,Barnala,data.gov.in_daily_prices
Tapa(Tapa Mandi),Punjab,Barnala,data.gov.in_daily_prices
Bhagta Bhai Ka,Punjab,Bhatinda,data.gov.in_daily_prices
Bhucho,Punjab,Bhatinda,data.gov.in_daily_prices
Maur,Punjab,Bhatinda,data.gov.in_daily_prices
Raman,Punjab,Bhatinda,data.gov.in_daily_prices
Rampuraphul(Chowke),Punjab,Bhatinda,data.gov.in_daily_prices
Rampuraphul(Nabha Mandi),Punjab,Bhatinda,data.gov.in_daily_prices
Sangat,Punjab,Bhatinda,data.gov.in_daily_prices
Faridkot,Punjab,Faridkot,data.gov.in_daily_prices
Jaitu,Punjab,Faridkot,data.gov.in_daily_prices
Jaitu(Bajakhana),Punjab,Faridkot,data.gov.in_daily_prices
Sadiq,Punjab,Faridkot,data.gov.in_daily_prices
Amloh,Punjab,Fatehgarh,data.gov.in_daily_prices
Amloh(Gobind Garh Mandi),Punjab,Fatehgarh,data.gov.in_daily_prices
Bassi Pathana,Punjab,Fatehgarh,data.gov.in_daily_prices
Chanarthal,Punjab,Fatehgarh,data.gov.in_daily_prices
Sirhind,Punjab,Fatehgarh,data.gov.in_daily_prices
Abohar,Punjab,Fazilka,data.gov.in_daily_prices
Jalalabad,Punjab,Fazilka,data.gov.in_daily_prices
Firozepur City,Punjab,Ferozpur,data.gov.in_daily_prices
Guru Har Sahai,Punjab,Ferozpur,data.gov.in_daily_prices
Makhu,Punjab,Ferozpur,data.gov.in_daily_prices
Mallanwala,Punjab,Ferozpur,data.gov.in_daily_prices
Talwandi Bhai(Mudki),Punjab,Ferozpur,data.gov.in_daily_prices
Dhenkanal,Odisha,Dhenkanal,data.gov.in_daily_prices
Kamakhyanagar,Odisha,Dhenkanal,data.gov.in_daily_prices
Kasinagar,Odisha,Gajapati,data.gov.in_daily_prices
Bhanjanagar,Odisha,Ganjam,data.gov.in_daily_prices
Digapahandi,Odisha,Ganjam,data.gov.in_daily_prices
Jagatsinghpur,Odisha,Jagatsinghpur,data.gov.in_daily_prices
Jajpur,Odisha,Jajpur,data.gov.in_daily_prices
Jharsuguda,Odisha,Jharsuguda,data.gov.in_daily_prices
Junagarh,Odisha,Kalahandi,data.gov.in_daily_prices
Anandapur,Odisha,Keonjhar,data.gov.in_daily_prices
Amgaon,Maharashtra,Gondiya,data.gov.in_daily_prices
Arjuni,Maharashtra,Gondiya,data.gov.in_daily_prices
Goregaon,Maharashtra,Gondiya,data.gov.in_daily_prices
Tiroda,Maharashtra,Gondiya,data.gov.in_daily_prices
Nanded,Maharashtra,Nanded,data.gov.in_daily_prices
Navapur,Maharashtra,Nandurbar,data.gov.in_daily_prices
Ghoti,Maharashtra,Nashik,data.gov.in_daily_prices
Alibagh,Maharashtra,Raigad,data.gov.in_daily_prices
Karjat(Raigad),Maharashtra,Raigad,data.gov.in_daily_prices
Padampur,Odisha,Bargarh,data.gov.in_daily_prices
Sohela,Odisha,Bargarh,data.gov.in_daily_prices
Bhadrak,Odisha,Bhadrak,data.gov.in_daily_prices
Chandabali,Odisha,Bhadrak,data.gov.in_daily_prices
Sahidngar,Odisha,Bhadrak,data.gov.in_daily_prices
Banki,Odisha,Cuttack,data.gov.in_daily_prices
Kendupatna,Odisha,Cuttack,data.gov.in_daily_prices
Deogarh,Odisha,Deogarh,data.gov.in_daily_prices
Kalayat,Haryana,Kaithal,data.gov.in_daily_prices
Pundri,Haryana,Kaithal,data.gov.in_daily_prices
kalanwali,Haryana,Sirsa,data.gov.in_daily_prices
Chail Chowk,Himachal Pradesh,Mandi,data.gov.in_daily_prices
Dhanotu (Mandi),Himachal Pradesh,Mandi,data.gov.in_daily_prices
Mandi(Mandi),Himachal Pradesh,Mandi,data.gov.in_daily_prices
Mandi(Takoli),Himachal Pradesh,Mandi,data.gov.in_daily_prices
Gumla,Jharkhand,Gumla,data.gov.in_daily_prices
Shikaripura,Karnataka,Shimoga,data.gov.in_daily_prices
Sheopurkalan,Madhya Pradesh,Sheopur,data.gov.in_daily_prices
Amritsar(Amritsar Mewa Mandi),Punjab,Amritsar,data.gov.in_daily_prices
Hospet,Karnataka,Bellary,data.gov.in_daily_prices
Tarikere,Karnataka,Chikmagalur,data.gov.in_daily_prices
Challakere,Karnataka,Chitradurga,data.gov.in_daily_prices
Arasikere,Karnataka,Hassan,data.gov.in_daily_prices
Belur,Karnataka,Hassan,data.gov.in_daily_prices
Holenarsipura,Karnataka,Hassan,data.gov.in_daily_prices
Fatehpur,Rajasthan,Sikar,data.gov.in_daily_prices
Neem Ka Thana,Rajasthan,Sikar,data.gov.in_daily_prices
Sikar,Rajasthan,Sikar,data.gov.in_daily_prices
Sri Madhopur,Rajasthan,Sikar,data.gov.in_daily_prices
Surajgarh,Rajasthan,Sikar,data.gov.in_daily_prices
