name,state,district,source
Tikamgarh,Madhya Pradesh,Tikamgarh,data.gov.in_daily_prices
Badnagar,Madhya Pradesh,Ujjain,data.gov.in_daily_prices
Umariya,Madhya Pradesh,Umariya,data.gov.in_daily_prices
Shamshabad,Madhya Pradesh,Vidisha,data.gov.in_daily_prices
Kolhapur(Laxmipuri),Maharashtra,Kolhapur,data.gov.in_daily_prices
Mumbai,Maharashtra,Mumbai,data.gov.in_daily_prices
Lamlong Bazaar,Manipur,Imphal East,data.gov.in_daily_prices
Imphal,Manipur,Imphal West,data.gov.in_daily_prices
Pratapgarh,Rajasthan,Chittorgarh,data.gov.in_daily_prices
Bhawani Mandi,Rajasthan,Jhalawar,data.gov.in_daily_prices
Jhalarapatan,Rajasthan,Jhalawar,data.gov.in_daily_prices
Kota,Rajasthan,Kota,data.gov.in_daily_prices
Deoli,Rajasthan,Tonk,data.gov.in_daily_prices
Champaknagar,Tripura,West District,data.gov.in_daily_prices
Sultanpur,Uttar Pradesh,Amethi,data.gov.in_daily_prices
Tulsipur,Uttar Pradesh,Balrampur,data.gov.in_daily_prices
Banda,Uttar Pradesh,Banda,data.gov.in_daily_prices
Najibabad,Uttar Pradesh,Bijnor,data.gov.in_daily_prices
Bindki,Uttar Pradesh,Fatehpur,data.gov.in_daily_prices
Maudaha,Uttar Pradesh,Hamirpur,data.gov.in_daily_prices
Hardoi,Uttar Pradesh,Hardoi,data.gov.in_daily_prices
Madhoganj,Uttar Pradesh,Hardoi,data.gov.in_daily_prices
Sahebganj,Jharkhand,Sahebgang,data.gov.in_daily_prices
Chaibasa,Jharkhand,West Singbhum,data.gov.in_daily_prices
Bangalore,Karnataka,Bangalore,data.gov.in_daily_prices
Sringeri,Karnataka,Chikmagalur,data.gov.in_daily_prices
Hassan,Karnataka,Hassan,data.gov.in_daily_prices
Bangarpet,Karnataka,Kolar,data.gov.in_daily_prices
Mysore (Bandipalya),Karnataka,Mysore,data.gov.in_daily_prices
Bhadravathi,Karnataka,Shimoga,data.gov.in_daily_prices
Shimoga,Karnataka,Shimoga,data.gov.in_daily_prices
Kuttoor,Kerala,Pathanamthitta,data.gov.in_daily_prices
Dholpur,Rajasthan,Dholpur,data.gov.in_daily_prices
Anupgarh,Rajasthan,Ganganagar,data.gov.in_daily_prices
Gajsinghpur,Rajasthan,Ganganagar,data.gov.in_daily_prices
Jaitsar,Rajasthan,Ganganagar,data.gov.in_daily_prices
Kesarisinghpur,Rajasthan,Ganganagar,data.gov.in_daily_prices
Padampur,Rajasthan,Ganganagar,data.gov.in_daily_prices
Raisingh Nagar,Rajasthan,Ganganagar,data.gov.in_daily_prices
Rawla,Rajasthan,Ganganagar,data.gov.in_daily_prices
Sadulshahar,Rajasthan,Ganganagar,data.gov.in_daily_prices
Sri Karanpur,Rajasthan,Ganganagar,data.gov.in_daily_prices
Sri Vijayanagar,Rajasthan,Ganganagar,data.gov.in_daily_prices
Sriganganagar (Grain),Rajasthan,Ganganagar,data.gov.in_daily_prices
Bhadara,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Goluwala,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Hanumangarh,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Nohar,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Pilibanga,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Rawatsar,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Sangriya,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Suratgarh,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Bagru,Rajasthan,Jaipur,data.gov.in_daily_prices
Bassi,Rajasthan,Jaipur,data.gov.in_daily_prices
Chaksu,Rajasthan,Jaipur,data.gov.in_daily_prices
Chomu (Grain),Rajasthan,Jaipur,data.gov.in_daily_prices
Jaipur (Grain),Rajasthan,Jaipur,data.gov.in_daily_prices
Jaipur(Grain)(Chandpole),Rajasthan,Jaipur,data.gov.in_daily_prices
Kishan Renwal(Fulera),Rajasthan,Jaipur,data.gov.in_daily_prices
Pandalam,Kerala,Pathanamthitta,data.gov.in_daily_prices
Parakkodu,Kerala,Pathanamthitta,data.gov.in_daily_prices
Ranniangadi,Kerala,Pathanamthitta,data.gov.in_daily_prices
Chalakudy,Kerala,Thirssur,data.gov.in_daily_prices
Irinjalakkuda,Kerala,Thirssur,data.gov.in_daily_prices
Kodumgalloor,Kerala,Thirssur,data.gov.in_daily_prices
Thrissur,Kerala,Thirssur,data.gov.in_daily_prices
Kattakada,Kerala,Thiruvananthapuram,data.gov.in_daily_prices
Pune,Maharashtra,Pune,data.gov.in_daily_prices
Pune(Khadiki),Maharashtra,Pune,data.gov.in_daily_prices
Dhari,Gujarat,Amreli,data.gov.in_daily_prices
"Anand(Veg,Yard,Anand)",Gujarat,Anand,data.gov.in_daily_prices
Dahod(Veg. Market),Gujarat,Dahod,data.gov.in_daily_prices
Jhalod,Gujarat,Dahod,data.gov.in_daily_prices
Alappuzha,Kerala,Alappuzha,data.gov.in_daily_prices
Chanthroor,Kerala,Alappuzha,data.gov.in_daily_prices
Anchal,Kerala,Kollam,data.gov.in_daily_prices
vadakarapathy,Kerala,Palakad,data.gov.in_daily_prices
Wokha Town,Nagaland,Wokha,data.gov.in_daily_prices
Azadpur,NCT of Delhi,Delhi,data.gov.in_daily_prices
Katpadi(Uzhavar Santhai),Tamil Nadu,Vellore,data.gov.in_daily_prices
Shadabad,Uttar Pradesh,Hathras,data.gov.in_daily_prices
Sikandraraau,Uttar Pradesh,Hathras,data.gov.in_daily_prices
Madhogarh,Uttar Pradesh,Jalaun (Orai),data.gov.in_daily_prices
Chhibramau,Uttar Pradesh,Kannuj,data.gov.in_daily_prices
Uttaripura,Uttar Pradesh,Kanpur,data.gov.in_daily_prices
Jhijhank,Uttar Pradesh,Kanpur Dehat,data.gov.in_daily_prices
Rura,Uttar Pradesh,Kanpur Dehat,data.gov.in_daily_prices
Kasganj,Uttar Pradesh,Kasganj,data.gov.in_daily_prices
Ajuha,Uttar Pradesh,Prayagraj,data.gov.in_daily_prices
Deoband,Uttar Pradesh,Saharanpur,data.gov.in_daily_prices
Bhehjoi,Uttar Pradesh,Sambhal,data.gov.in_daily_prices
Chandausi,Uttar Pradesh,Sambhal,data.gov.in_daily_prices
Sambhal,Uttar Pradesh,Sambhal,data.gov.in_daily_prices
Bangarmau,Uttar Pradesh,Unnao,data.gov.in_daily_prices
Rishikesh,Uttrakhand,Dehradoon,data.gov.in_daily_prices
Roorkee,Uttrakhand,Haridwar,data.gov.in_daily_prices
Bhawanipatna,Odisha,Kalahandi,data.gov.in_daily_prices
Kesinga,Odisha,Kalahandi,data.gov.in_daily_prices
Nawarangpur,Odisha,Nowarangpur,data.gov.in_daily_prices
Gevrai,Maharashtra,Beed,data.gov.in_daily_prices
Kendupatna(Niali),Odisha,Cuttack,data.gov.in_daily_prices
Baripada,Odisha,Mayurbhanja,data.gov.in_daily_prices
Rayagada,Odisha,Rayagada,data.gov.in_daily_prices
Rayagada(Muniguda),Odisha,Rayagada,data.gov.in_daily_prices
Achalda,Uttar Pradesh,Auraiya,data.gov.in_daily_prices
Fatehabad,Haryana,Fatehabad,data.gov.in_daily_prices
Jakhal,Haryana,Fatehabad,data.gov.in_daily_prices
Ratia,Haryana,Fatehabad,data.gov.in_daily_prices
Sohna,Haryana,Gurgaon,data.gov.in_daily_prices
Hansi,Haryana,Hissar,data.gov.in_daily_prices
Uklana,Haryana,Hissar,data.gov.in_daily_prices
Jind,Haryana,Jind,data.gov.in_daily_prices
Jullana,Haryana,Jind,data.gov.in_daily_prices
Narwana,Haryana,Jind,data.gov.in_daily_prices
Pillukhera,Haryana,Jind,data.gov.in_daily_prices
Safidon,Haryana,Jind,data.gov.in_daily_prices
Uchana,Haryana,Jind,data.gov.in_daily_prices
Cheeka,Haryana,Kaithal,data.gov.in_daily_prices
Dhand,Haryana,Kaithal,data.gov.in_daily_prices
Kaithal,Haryana,Kaithal,data.gov.in_daily_prices
Huliyar,Karnataka,Tumkur,data.gov.in_daily_prices
Anjad,Madhya Pradesh,Badwani,data.gov.in_daily_prices
Narela,NCT of Delhi,Delhi,data.gov.in_daily_prices
Jaleswar,Odisha,Balasore,data.gov.in_daily_prices
Kotkapura,Punjab,Faridkot,data.gov.in_daily_prices
